bus_number,stop_sequence,stop_name
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,3,Transit Camp Dispensary (Sion) #2
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,4,Samaj Mandir Hall Or Pratiksha Nagar 1
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,5,Samaj Mandir Hall
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,6,Rawli Camp (Sion) #1
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,7,Sardar Nagar Number 4 (Sion) #1
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,8,Antop Hill Church #2
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,9,Antop Hill Police Station #1
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,10,Antop Hill Police Station #4
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,11,Kane Nagar (Antop Hill) #3
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,12,CGS Dispensary (Antop Hill) #3
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,13,Antop Hill (Sector 1) #1
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,14,Indian Hume Pipe Company (Antop Hill) #2
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,15,B P T Colony Wadala East (Antop Hill) #3
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,16,Wadala Flyover Bridge 1 (Antop Hill) #2
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,17,B P T Colony Wadala East (Antop Hill) #2
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,18,Wadala Flyover Bridge 2 #1
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,19,Wadala Church #5
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,20,Wadala Station West #5
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,21,Azad Nagar (Wadala) #3
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,22,Madhav Nagar (Wadala) #2
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,23,Dyaneshwar Nagar (Sewri) #1
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,24,TB Hospital (Parel) #2
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,25,TB Hospital (Parel) #1
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,26,Kidwai Road Police Station
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,27,BEST Colony (Wadala) #2
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,28,Bhoiwada Or Mane Master Chowk (Wadala) #5
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,29,Bhoiwada Or Mane Master Chowk (Wadala) #6
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,30,Tata Hospital (Parel) #1
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,31,Wadia Maternity Hospital (Parel) #1
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,32,K E M Hospital Or Nurses Quarters (Parel) #1
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,33,Mahatma Gandhi Hospital (Parel) #1
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,34,Bharatmata Cinema (Parel) #6
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,35,Bharatmata Cinema or Mahadeo Palav Marg (Parel) #1
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,36,Bawla Masjid (Lower Parel) #1
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,37,N M Joshi Marg Police Station (Lower Parel) #2
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,38,Com Gulabrao Ganacharya Chowk (Jacob Circle) #2
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,39,S Bridge Or Mandlik Chowk (Chinchpokli) #1
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,40,Byculla Railway Station West (Chinchpokli) #1
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,41,AH Ansari Chowk (Byculla West) #1
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,42,AH Ansari Chowk (Madanpura) #2
